36.0
         127901 function calls (126409 primitive calls) in 0.215 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 caching.py:700(CustomCodeLibraryCacheImpl)
        1    0.000    0.000    0.000    0.000 caching.py:703(LibraryCache)
        1    0.000    0.000    0.000    0.000 caching.py:92(NullCache)
        1    0.000    0.000    0.000    0.000 callconv.py:165(MinimalCallConv)
        1    0.000    0.000    0.000    0.000 callconv.py:276(_MinimalCallHelper)
        1    0.000    0.000    0.001    0.001 callconv.py:3(<module>)
        1    0.000    0.000    0.000    0.000 callconv.py:303(CPUCallConv)
        5    0.000    0.000    0.000    0.000 callconv.py:35(_const_int)
        1    0.000    0.000    0.000    0.000 callconv.py:464(ErrorModel)
        1    0.000    0.000    0.000    0.000 callconv.py:477(PythonErrorModel)
        1    0.000    0.000    0.000    0.000 callconv.py:484(NumpyErrorModel)
        1    0.000    0.000    0.000    0.000 callconv.py:51(BaseCallConv)
        1    0.000    0.000    0.001    0.001 callwrapper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 callwrapper.py:74(_GilManager)
        1    0.000    0.000    0.000    0.000 callwrapper.py:9(_ArgManager)
        1    0.000    0.000    0.000    0.000 callwrapper.py:91(PyCallWrapper)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:1018(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:131(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:25(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:34(_ExpectedFailure)
        1    0.000    0.000    0.000    0.000 case.py:45(_UnexpectedSuccess)
        7    0.000    0.000    0.000    0.000 case.py:607(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:98(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 castgraph.py:1(<module>)
       40    0.000    0.000    0.021    0.001 castgraph.py:122(insert_rule)
        8    0.000    0.000    0.002    0.000 castgraph.py:128(promote)
       11    0.000    0.000    0.005    0.000 castgraph.py:131(safe)
       21    0.000    0.000    0.014    0.001 castgraph.py:134(unsafe)
        1    0.000    0.000    0.000    0.000 castgraph.py:33(CastSet)
       14    0.000    0.000    0.000    0.000 castgraph.py:39(__init__)
     2032    0.002    0.000    0.006    0.000 castgraph.py:42(insert)
     2032    0.001    0.000    0.002    0.000 castgraph.py:51(get)
       40    0.000    0.000    0.000    0.000 castgraph.py:65(__iter__)
     2044    0.001    0.000    0.002    0.000 castgraph.py:68(__getitem__)
        1    0.000    0.000    0.000    0.000 castgraph.py:72(TypeGraph)
        1    0.000    0.000    0.000    0.000 castgraph.py:79(__init__)
        1    0.000    0.000    0.000    0.000 castgraph.py:9(Conversion)
       40    0.005    0.000    0.020    0.001 castgraph.py:95(propagate)
        1    0.000    0.000    0.000    0.000 cgutils.py:222(ValueStructProxy)
        1    0.000    0.000    0.000    0.000 cgutils.py:237(DataStructProxy)
        1    0.000    0.000    0.000    0.000 cgutils.py:253(Structure)
        1    0.000    0.000    0.001    0.001 cgutils.py:3(<module>)
        1    0.000    0.000    0.000    0.000 cgutils.py:89(_StructProxy)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2041(Chebyshev)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
        1    0.000    0.000    0.000    0.000 codecs.py:92(__new__)
        1    0.001    0.001    0.003    0.003 codegen.py:1(<module>)
        1    0.000    0.000    0.000    0.000 codegen.py:34(_CFG)
        1    0.000    0.000    0.000    0.000 codegen.py:425(AOTCodeLibrary)
        1    0.000    0.000    0.000    0.000 codegen.py:450(JITCodeLibrary)
        1    0.000    0.000    0.000    0.000 codegen.py:469(RuntimeLinker)
        1    0.000    0.000    0.000    0.000 codegen.py:525(BaseCPUCodegen)
        1    0.000    0.000    0.000    0.000 codegen.py:60(CodeLibrary)
        1    0.000    0.000    0.000    0.000 codegen.py:670(AOTCPUCodegen)
        1    0.000    0.000    0.000    0.000 codegen.py:701(JITCPUCodegen)
        1    0.001    0.001    0.001    0.001 collections.py:11(<module>)
       54    0.000    0.000    0.000    0.000 collections.py:125(items)
       30    0.010    0.000    0.012    0.000 collections.py:305(namedtuple)
     1330    0.000    0.000    0.000    0.000 collections.py:349(<genexpr>)
      143    0.000    0.000    0.000    0.000 collections.py:373(<genexpr>)
      143    0.000    0.000    0.000    0.000 collections.py:375(<genexpr>)
        1    0.000    0.000    0.000    0.000 collections.py:38(OrderedDict)
        1    0.000    0.000    0.000    0.000 collections.py:407(Counter)
        9    0.000    0.000    0.000    0.000 collections.py:50(__init__)
       54    0.000    0.000    0.000    0.000 collections.py:71(__setitem__)
      483    0.000    0.000    0.000    0.000 collections.py:90(__iter__)
        1    0.000    0.000    0.000    0.000 common.py:13(_decode_string)
        1    0.000    0.000    0.000    0.000 common.py:15(SimpleIterableType)
        1    0.000    0.000    0.000    0.000 common.py:2(<module>)
        1    0.000    0.000    0.000    0.000 common.py:26(SimpleIteratorType)
        1    0.000    0.000    0.000    0.000 common.py:3(<module>)
        1    0.000    0.000    0.000    0.000 common.py:34(_is_shutting_down)
        1    0.000    0.000    0.000    0.000 common.py:37(Buffer)
        1    0.000    0.000    0.000    0.000 common.py:9(Opaque)
        1    0.003    0.003    0.010    0.010 compiler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compiler.py:168(_CompileStatus)
        1    0.000    0.000    0.000    0.000 compiler.py:186(_EarlyPipelineCompletion)
        1    0.000    0.000    0.000    0.000 compiler.py:191(_PipelineManager)
